基金 165312 数据
选择日期为: 5 35
收益均值： 4.2526 %

选择日期为: 5 40
收益均值： 4.9328 %

选择日期为: 5 45
收益均值： 4.2142 %

选择日期为: 5 50
收益均值： 5.7883 %

选择日期为: 5 55
收益均值： 4.779 %

选择日期为: 5 60
收益均值： 5.4518 %

选择日期为: 10 35
收益均值： 4.2248 %

选择日期为: 10 40
收益均值： 4.568 %

选择日期为: 10 45
收益均值： 4.4127 %

选择日期为: 10 50
收益均值： 5.2818 %

选择日期为: 10 55
收益均值： 4.9871 %

选择日期为: 10 60
收益均值： 4.4449 %

选择日期为: 15 35
收益均值： 4.38 %

选择日期为: 15 40
收益均值： 5.4751 %

选择日期为: 15 45
收益均值： 5.497 %

选择日期为: 15 50
收益均值： 6.154 %

选择日期为: 15 55
收益均值： 6.5749 %

选择日期为: 15 60
收益均值： 6.0896 %

选择日期为: 20 35
收益均值： 3.9685 %

选择日期为: 20 40
收益均值： 5.9955 %

选择日期为: 20 45
收益均值： 5.7936 %

选择日期为: 20 50
收益均值： 6.6733 %

选择日期为: 20 55
收益均值： 7.6438 %

选择日期为: 20 60
收益均值： 7.8837 %

选择日期为: 15 35
收益均值： 4.38 %

选择日期为: 15 40
收益均值： 5.4751 %

选择日期为: 15 45
收益均值： 5.497 %

选择日期为: 15 50
收益均值： 6.154 %

选择日期为: 15 55
收益均值： 6.5749 %

选择日期为: 15 60
收益均值： 6.0896 %

选择日期为: 30 35
收益均值： 2.3255 %

选择日期为: 30 40
收益均值： 3.0797 %

选择日期为: 30 45
收益均值： 6.639 %

选择日期为: 30 50
收益均值： 4.671 %

选择日期为: 30 55
收益均值： 6.7131 %

选择日期为: 30 60
收益均值： 7.9663 %

最值为: 30 60 7.9663 %
